restaurant,category,name,description,price_cents,currency,image_url,item_url
Pressed Cafe,Menu,Morning Smash Burrito,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/e309931f-1ef9-482e-bcab-358bfc953c75/Smash-Burger-Burrito.png,
Pressed Cafe,Menu,Mykonos Triple Berry Probiotic,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/f228783b-a447-4b99-82fe-785fe52ae7bf/Mykonos.png,
Pressed Cafe,Menu,Nutella and Peanut Butter Toast,,1100,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/8db57bf8-dd43-46f3-a628-6453aa36260f/PBN-Toast.png,
Pressed Cafe,Menu,Orange Balls,,350,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d6167684-d138-4c41-8d9c-fcc1b512c11f/OrangeBalls_Olo.png,
Pressed Cafe,Menu,Oven Roasted Turkey,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/cc96b5fc-97cb-4f5a-8960-459e3f7fa4cf/Oven-Roasted-Turkey.png,
Pressed Cafe,Menu,Paleo Pastries,,400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/68c3d99b-1b9b-48c2-884a-f03a8bf512ff/PaleoChocolateBrownies_Olo.png,
Pressed Cafe,Menu,Peach Bash Flash,,450,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/116fbfae-16b5-4125-825d-40b16217f710/Peach-Bash-Flash.jpg,
Pressed Cafe,Menu,Peaches 'N Cream Matcha (Iced Only),,600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/c7e1bd4d-e6eb-4082-8121-e05ff7ef7ded/Matcha.jpg,
Pressed Cafe,Menu,Peaches 'N Cream Tea (Iced Only),,600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/24f2970e-292c-4ff9-8ca4-e2ca6cfd5245/Peach-Teas.jpg,
Pressed Cafe,Menu,Peanut Butter Power,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/202f316d-83b9-46ad-a400-b657265178c5/PB-POWER.png,
Pressed Cafe,Menu,Peanut Butter Protein Balls,,225,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/ff888800-a57a-4dd2-ad18-105ff7c74a22/PeanutButterBalls_Olo.png,
Pressed Cafe,Menu,Pesto Goat Cheese BLT,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/33823ac3-5e52-41e2-943a-cc0b3b9f4925/Goat-Cheese-BLT.png,
Pressed Cafe,Menu,Pina-Coquito Flash,,450,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/312e9754-5bae-4ab9-83ae-03c50afbb2c2/PinaCoquitoFlash_6.jpg,
Pressed Cafe,Menu,Pressed Pad Thai Bowl,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/d6466458-2f89-432c-8eec-b854ed6aedb1/Pad-Thai-Bowl.png,
Pressed Cafe,Menu,Rainbow Acai Bowl,,1000,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/fc93949b-2583-4fe7-83b0-a166c6c58948/ncp-2-of-91-.jpg,
Pressed Cafe,Menu,Reuben,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/cca51d3d-3351-4f70-b432-002163fb730e/Reuben.png,
Pressed Cafe,Menu,Rugelach,,395,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/67bd5800-d7f1-4993-a60b-d08263d158aa/Rugelach_Olo.png,
Pressed Cafe,Menu,Sababa Salmon Salad,,1600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/f489817e-f7f2-46e8-9e37-29e046b75e64/Sababa-Salmon.png,
Pressed Cafe,Menu,Sabich (Sah-Beekh),,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/934df992-15ce-47dd-b5d5-729607f92204/ncp_-222-of-473-.jpg,
Pressed Cafe,Menu,Salted Rum Vanilla Latte (Iced/Hot),,600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/e65c8e43-f354-4a08-a653-7c07f9481b86/SaltedRumVanillaLatte_8.jpg,
Pressed Cafe,Menu,Santorini Sunrise Yogurt,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/c750b17e-30cd-442d-8aa1-c83f7c978a32/ncp-6-of-91-.jpg,
Pressed Cafe,Menu,Schnitzel - American Style,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/93e1fcc1-bd59-4dda-9302-552dc79b98ff/ncp-63-of-91-.jpg,
Pressed Cafe,Menu,Schnitzel - Israeli Style,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/e0e49f9b-21f2-416b-bce0-5f41019ad778/ncp-62-of-91-.jpg,
Pressed Cafe,Menu,Smash Burger Salad,,1600,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/5a58b186-b504-4a56-aaeb-9433ec3fad96/Smash-Burger-Salad.png,
